,original,alias
826,IL13RA1,IL13RA1
827,AGL,AGL
828,CDC25B,CDC25B
829,GATA3,GATA3
830,RPA3,RPA3
831,TES,TES
832,SPR,SPR
833,RELB,RELB
834,EPHB2,EPHB2
835,RPIA,RPIA
836,GPR56,GPR56
837,NVL,NVL
838,CHEK1,CHEK1
839,ME2,ME2
840,PDGFA,PDGFA
841,WDR67,TBC1D31
842,RFC2,RFC2
843,TIMM9,TIMM9
844,ORC1,ORC1
845,PARP2,PARP2
846,FASTKD5,FASTKD5
847,PTPLAD1,PTPLAD1
848,MSRA,MSRA
849,SYNE2,SYNE2
850,UBE3C,UBE3C
851,CCDC92,CCDC92
852,CXCL2,CXCL2
853,TIMM22,TIMM22
854,ATF5,ATF5
855,NSDHL,NSDHL
856,ADI1,ADI1
857,ADCK3,ADCK3
858,GDPD5,GDPD5
859,TARBP1,TARBP1
860,RBKS,RBKS
861,KDM3A,KDM3A
862,BID,BID
863,MTF2,MTF2
864,HLA-DRA,HLA-DRA
865,PIK3C2B,PIK3C2B
866,SLC25A46,SLC25A46
867,CDK19,CDK19
868,KIAA0753,KIAA0753
869,KAT6B,KAT6B
870,CHN1,CHN1
871,MAPK13,MAPK13
872,UFM1,UFM1
873,GNA15,GNA15
874,IARS2,IARS2
875,GATA2,GATA2
876,RALGDS,RALGDS
877,NRIP1,NRIP1
878,CCNB2,CCNB2
879,RNPS1,RNPS1
880,SATB1,SATB1
881,ARID4B,ARID4B
882,GSTZ1,GSTZ1
883,SESN1,SESN1
884,SPEN,SPEN
885,PFKL,PFKL
886,PDHX,PDHX
887,DENND2D,DENND2D
888,CTTN,CTTN
889,UBR7,UBR7
890,GRB7,GRB7
891,CD44,CD44
892,VAV3,VAV3
893,ABHD6,ABHD6
894,MAPKAPK2,MAPKAPK2
895,CAB39,CAB39
896,TIAM1,TIAM1
897,DNM1L,DNM1L
898,DERA,DERA
899,PTPRK,PTPRK
900,HERC6,HERC6
901,MKNK1,MKNK1
902,ACOT9,ACOT9
903,ST3GAL5,ST3GAL5
904,CTNNAL1,CTNNAL1
905,ABHD4,ABHD4
906,INPP4B,INPP4B
907,ZMIZ1,ZMIZ1
908,PPARG,PPARG
909,RPP38,RPP38
910,CAST,CAST
911,BAG3,BAG3
912,GNA11,GNA11
913,TOR1A,TOR1A
914,SLC25A13,SLC25A13
915,TSPAN4,TSPAN4
916,NR3C1,NR3C1
917,TRIB3,TRIB3
918,PHF15,JADE2
919,CXCR4,CXCR4
920,FKBP14,FKBP14
921,CIAPIN1,CIAPIN1
922,COG7,COG7
923,TUBB6,TUBB6
924,ABL1,ABL1
925,CCNF,CCNF
926,HSPA1A,HSPA1A
927,FAM57A,FAM57A
928,EVL,EVL
929,GPER,GPER1
930,EAPP,EAPP
931,EXT1,EXT1
932,POLE2,POLE2
933,PLCB3,PLCB3
934,C2CD2,C2CD2
935,ANKRD10,ANKRD10
936,DDX10,DDX10
937,CEP57,CEP57
938,RAB31,RAB31
939,ABCC5,ABCC5
940,RFC5,RFC5
941,HES1,HES1
942,KLHL9,KLHL9
943,UBE2J1,UBE2J1
944,SLC37A4,SLC37A4
945,PLK1,PLK1
946,NPRL2,NPRL2
947,PWP1,PWP1
948,PLEKHM1,PLEKHM1
949,VAT1,VAT1
950,KIF20A,KIF20A
951,CDH3,CDH3
952,SSBP2,SSBP2
953,SNX11,SNX11
954,SFN,SFN
955,RFX5,RFX5
956,PKIG,PKIG
957,FSD1,FSD1
958,ATP6V1D,ATP6V1D
959,CDC45,CDC45
960,EDEM1,EDEM1
961,MYLK,MYLK
962,USP6NL,USP6NL
963,NT5DC2,NT5DC2
964,CCP110,CNTRL
965,STK10,STK10
966,UGDH,UGDH
967,SQRDL,SQRDL
968,HEBP1,HEBP1
969,FGFR4,FGFR4
970,CDKN2A,CDKN2A
971,ATP11B,ATP11B
972,CD320,CD320
973,CDKN1B,CDKN1B
974,MLLT11,MLLT11
975,CEBPZ,CEBPZ
976,GAPDH,GAPDH
977,CBR3,CBR3
